text,retweet_count,favorite_count,created_at,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities
RT @SaharaReporters: Nigerian Lawmaker Abandons Car For Electric Bicycle To Identify With Masses Over Fuel Price Hike In Adamawa | Sahara R…,537,0,2023-06-05 09:45:55+00:00,"['rt', 'saharareporters', 'nigerian', 'lawmaker', 'abandon', 'car', 'electric', 'bicycle', 'identify', 'mass', 'fuel', 'price', 'hike', 'adamawa', 'sahara', 'r…']",0.162,0.0,0.838,-0.4404,Negative,['adamawa'],[]
"RT @thewallabechamp: A Tribe Called Quest 🎧

‘Electric Relaxation’ (1993) https://t.co/EI4KOxBHvV",501,0,2023-06-08 09:30:50+00:00,"['rt', 'thewallabechamp', 'tribe', 'called', 'quest', '🎧', '‘', 'electric', 'relaxation', '’', '1993']",0.0,0.327,0.673,0.5267,Positive,[],[]
RT @DeepakA83133961: Saint Gurmeet Ram Rahim Ji always inspires us to #SaveEnergy by making us aware of energy efficiency advancements &amp; by…,490,0,2023-06-08 07:43:53+00:00,"['rt', 'deepaka83133961', 'saint', 'gurmeet', 'ram', 'rahim', 'ji', 'always', 'inspires', 'u', 'saveenergy', 'making', 'u', 'aware', 'energy', 'efficiency', 'advancement', 'amp', 'by…']",0.0,0.349,0.651,0.7579,Positive,[],[]
"RT @Apple: Say hello yellow to iPhone 14 and iPhone 14 Plus, with larger than life battery life.",489,0,2023-06-08 05:38:56+00:00,"['rt', 'apple', 'say', 'hello', 'yellow', 'iphone', '14', 'iphone', '14', 'plus', 'larger', 'life', 'battery', 'life']",0.0,0.0,1.0,0.0,Neutral,[],[]
RT @Lesufi: We received more than 35000 applications before the deadline on Thursday 08th June. We don’t want to leave you out. This will b…,466,0,2023-06-08 08:38:10+00:00,"['rt', 'lesufi', 'received', '35000', 'application', 'deadline', 'thursday', '08th', 'june', '’', 'want', 'leave', 'b…']",0.096,0.104,0.8,0.0258,Positive,[],[]
"RT @realclubsalad: 🌤 Quote of the Day for our #SaladFam!

✨ “The value of an idea lies in the using of it.” — Thomas Edison, co-founder of…",459,0,2023-06-08 09:29:33+00:00,"['rt', 'realclubsalad', '🌤', 'quote', 'day', 'saladfam', '✨', '“', 'value', 'idea', 'lie', 'using', '”', '—', 'thomas', 'edison', 'cofounder', 'of…']",0.0,0.167,0.833,0.34,Positive,[],[]
RT @Solis_Inverters: #Soliscases in #Ireland This beautiful Irish installation translates climate commitments into implementation by Soluna…,455,0,2023-06-08 02:01:22+00:00,"['rt', 'solisinverters', 'soliscases', 'ireland', 'beautiful', 'irish', 'installation', 'translates', 'climate', 'commitment', 'implementation', 'soluna…']",0.0,0.394,0.606,0.7579,Positive,[],['ireland']
"RT @Solis_Inverters: To all the incredible women out there, keep shining your light and breaking down barriers. You are valued, cherished,…",450,0,2023-06-08 09:17:11+00:00,"['rt', 'solisinverters', 'incredible', 'woman', 'keep', 'shining', 'light', 'breaking', 'barrier', 'valued', 'cherished…']",0.112,0.216,0.672,0.34,Positive,[],[]
"RT @ZacdyDiscounts: ""Indestructible flints based on actual designs from World War 1. Perfect for camping, survival situations, sailing, and…",445,0,2023-06-08 06:54:28+00:00,"['rt', 'zacdydiscounts', 'indestructible', 'flint', 'based', 'actual', 'design', 'world', 'war', '1', 'perfect', 'camping', 'survival', 'situation', 'sailing', 'and…']",0.184,0.25,0.566,0.1027,Positive,[],[]
"RT @wideawake_media: Electric vehicles are not ""green"" in the slightest.

#ClimateScam https://t.co/ZyEZzh2fem",426,0,2023-06-08 09:35:35+00:00,"['rt', 'wideawakemedia', 'electric', 'vehicle', 'green', 'slightest', 'climatescam']",0.0,0.0,1.0,0.0,Neutral,[],[]
