text,retweet_count,favorite_count,created_at
RT @arikring: @RisePDX @Jackthelad1947 @seth_leitman @debraruh @wernerkeil @SaleemulHuq @JeremyMallin @raduede @Tecgale @MarianSmedley @kir…,198,0,2023-06-05 04:53:49+00:00
"RT @Sgtnewsnetwork: ⚠️The Great Fraud! Wind Farms Require Diesel Engines To Run, Draw Power From The Grid https://t.co/lNMY7bL1xv",197,0,2023-06-08 05:38:34+00:00
"RT @KerrieNation: Remember this dipshit @fordnation being “proud” of cancelling green energy contracts? 

We should especially remember him…",196,0,2023-06-08 10:03:40+00:00
"RT @CNN: If gas guzzlers disappeared from US car lots by 2035 and were replaced by zero-emissions vehicles, the nation would see 89,300 few…",194,0,2023-06-08 08:46:35+00:00
"Trying my luck to win $TUK airdrop campaign from @eTukTukio, the first automotive project with #GreenRevolution built on #Cardano. 

eTUKTUK is at the very core of the electric vehicle transition, sharing economy, e-mobility, &amp; web 3.0 mass adoption 🛺 

https://t.co/3eeZYRjdyI https://t.co/VCpv6vH5to https://t.co/qsqyP81czY",193,582,2023-06-06 02:17:07+00:00
"RT @ibcig: Trying my luck to win $TUK airdrop campaign from @eTukTukio, the first automotive project with #GreenRevolution built on #Cardan…",193,0,2023-06-08 05:37:55+00:00
"RT @Happiness1997TS: a photo of her in electric lady studio - Rosé 🫣

""I will try to make lots and lots of good music for you in the future…",188,0,2023-06-08 09:21:44+00:00
RT @AntonEberhard: The private sector is gearing up to rescue South Africa from power cuts with a huge pipeline of generation projects unde…,188,0,2023-06-08 09:12:43+00:00
RT @McfarlaneGlenda: Sway in the wind Singh is still trying to play both sides. It’s unbelievable the arrogance of this 4th place party lea…,188,0,2023-06-08 06:47:32+00:00
"RT @9NewsAUS: A Canberra man will spend one month in jail after riding an e-scooter at nearly 100km/h during a police chase.

During the ar…",184,0,2023-06-06 11:21:07+00:00
"Renewable enthusiasts often tell me 'battery storage will overcome all their difficulties'

But the 'biggest battery storage installation in Europe' could  power UK's electricity grid for just 22 seconds!

Cost 75 million quid

Long long long way to go.

https://t.co/q89W3zBCBz",183,367,2023-06-08 07:48:47+00:00
"RT @latimeralder: Renewable enthusiasts often tell me 'battery storage will overcome all their difficulties'

But the 'biggest battery stor…",183,0,2023-06-08 10:20:03+00:00
"RT @SulajjaFirodia: Preparing for grand delivery function of 1000 Electric 3wh designed for waste management at Vijaywada ! Solid steel, hi…",173,0,2023-06-08 09:29:36+00:00
"RT @FinPlanKaluAja1: BUA gets $500m to build two new energy efficient cement production lines in it's Sokoto factory.

Factory will convert…",172,0,2023-06-08 09:56:13+00:00
"RT @bettybloodclot: The carbon tax is important to fund Trudeau's tree planting plan...oh wait
To invest in nuclear energy...oh wait...
To…",168,0,2023-06-08 09:48:48+00:00
"RT @MikeSchreiner: The Ford government wants us to pay more for our energy.

Why else would they insist on investing in dirty, gas power wh…",166,0,2023-06-08 08:45:22+00:00
"Two new Apple Maps features coming later this year:

- Offline maps: users can select an area and download it. Turn-by-turn navigation and estimated time of arrival will be available
- You will now be able to see real-time EV charging station availability! https://t.co/8rs57MHjGj https://t.co/a9moNA05yL",165,1902,2023-06-08 01:45:12+00:00
"RT @theapplehub: Two new Apple Maps features coming later this year:

- Offline maps: users can select an area and download it. Turn-by-tur…",165,0,2023-06-08 07:09:12+00:00
"RT @BoschGlobal: 🤝 Working together to help transform children's lives: Bosch Thailand &amp; Primavera, an #aid organization by Bosch associate…",163,0,2023-06-08 09:06:50+00:00
"RT @DrSimEvans: FACTCHECK: Me in the @guardian on why Rowan Atkinson has been ""duped"" about electric vehicles – just not in the way he thin…",162,0,2023-06-08 09:37:08+00:00
"RT @TheGreenParty: 📺 ""Nuclear is not going to help us out in this climate emergency.""

@carla_denyer speaks to the BBC about the need to in…",162,0,2023-06-08 08:32:07+00:00
"RT @kucoincom: 🤖New assets added to the Trading Bots.

📈 Spot Grid: APT/USDT

♾ Infinity Grid: APT/USDT

💰 DCA: APT

💰 Smart Rebalance: APT",162,0,2023-06-07 21:56:50+00:00
"RT @PressSec: The President’s Investing in America agenda is bringing manufacturing back to America, strengthening America’s energy securit…",161,0,2023-06-08 08:58:24+00:00
"RT @RepDonaldsPress: Many naturally fear nuclear energy due to unsubstantiated radiation concerns.

Today's nuclear tech isn't our grandpar…",158,0,2023-06-08 09:21:17+00:00
"RT @Y0L0Jo: We know @JoeBiden is not really in charge, but that’s NOT the point of the video!

☄️ #2A
💥 #PewPew
🔥 #ShallNotBeInfringed http…",151,0,2023-06-08 04:10:46+00:00
"RT @Mullen_USA: Charging Ahead ⚡ Smooth Lines &amp; Strikingly Different Design. 

Welcome to the #MullenFIVE. 
Reserve now: https://t.co/f1WYr…",148,0,2023-06-07 12:25:22+00:00
RT @nise_shi: HONGO TAKESHI: the wind. it roars in my ears. the more my power grows the harder it is to feel remorse for violence. what is…,148,0,2023-06-08 07:24:58+00:00
"RT @pattonoswalt: Oh dude, I’ve always planned to be buried underneath an electric fence. Sorry…",147,0,2023-06-08 09:25:16+00:00
